"title","zip_code","address","station_type","station","area","contract","date","direction","floor","points","price","admin","maintainance","methods","dis","deposit","key","renewal"
"CROSS北大路","603-8165","京都府京都市北区紫野西御所田町","京都市営烏丸線","北大路",28.1,2,"2016年02月","西
",5,"2口ガスキッチン
ネット無料
区役所徒歩圏内で便利
",6.6,6000,NA,"徒歩",9,5,15,3.3
"Solare鴨川","606-8307","京都府京都市左京区吉田上阿達町","京阪本線","神宮丸太町",30.2,2,"2005年01月","西
",5,"宅配BOX
IHキッチン2口
温水洗浄便座
",7.1,6000,NA,"徒歩",6,10,20,7.1
"プチ・パレ","602-8483","京都府京都市上京区杉若町670-3","京都市営烏丸線","今出川",23.8,2,"1994年10月","北
",3,"個別のランドリースペースあり
閑静な住宅街
",3.7,3500,NA,"自転車",7,0,0,0
"森マンションⅦ","606-8301","京都府京都市左京区吉田泉殿町56","京阪本線","出町柳",19,2,"1991年03月","南
",4,"コンビニ徒歩5分
IHキッチン
水道料共益費込
",3.85,4500,NA,"徒歩",5,5,0,3.85
"是空HORIKAWA","602-8043","京都府京都市上京区五町目","京都地下鉄東西線","二条城前",22.7,2,"2007年06月","東
",9,"スーパー徒歩2分
2人入居可
ペット飼育可
",6.8,7000,NA,"徒歩",13,0,6.8,6.8
"ロイヤル紫野","603-8224","京都府京都市北区紫野西藤ノ森町1-48","京都市営烏丸線","鞍馬口",18,2,"1991年05月","南
",4,"",3.7,3000,NA,"徒歩",19,0,0,0
"PINE館Ⅲ","606-8202","京都府京都市左京区田中大堰町","京阪本線","出町柳",27.8,2,"2009年03月","東
",4,"独立洗面化粧台
オートロック
温水洗浄便座
",6.2,6000,NA,"徒歩",5,10,12.4,6.2
"ドムス河原町","602-0862","京都府京都市上京区出水町275","京阪本線","神宮丸太町",19,2,"1990年04月","東
",5,"京阪神宮丸太町徒歩3分
更新料ナシ
オートロック
",4.3,6000,NA,"徒歩",7,2,0,0
"フラッティ千本上立売","602-8488","京都府京都市上京区真倉町","京都市営烏丸線","今出川",22.8,1,"2009年11月","東
",3,"ネット無料
2口ガスキッチン
宅配BOX
",5.6,6000,NA,"自転車",7,0,10,5.6
"グレース・マツモト","603-8143","京都府京都市北区小山上総町8丁目","京都市営烏丸線","北大路",18,2,"1998年01月","西
",6,"カードキー
モニター付インターフォン
エレベーター
",4.5,5500,NA,"徒歩",3,0,4.5,4.5
"グリーンヒル北大路","603-8161","京都府京都市北区小山北大野町","京都市営烏丸線","北大路",22.7,2,"1993年03月","東、
",4,"北大路ビブレ徒歩圏内
日当良好
大谷大徒歩圏内
",5,2500,NA,"徒歩",7,5,5,0
"レジデンス北大路","603-8162","京都府京都市北区小山東大野町","京都市営烏丸線","北大路",21,2,"1999年02月","北西
",4,"交通便利
オートロック
バス・トイレ別
",5.2,6000,NA,"徒歩",4,0,8,5.2
"アメージンググレイス","603-8161","京都府京都市北区小山北大野町","京都市営烏丸線","北大路",20.9,2,"1998年03月","北
",4,"オートロック
セパレート
室内洗濯機置場
",4.9,6000,NA,"徒歩",6,0,5,4.9
"コーポ・キタノ","606-0917","京都府京都市左京区松ケ崎堂ノ上町10丁目","京都市営烏丸線","松ヶ崎",25.2,2,"1993年03月","南
",2,"室内洗濯機置場あり
居室は広々8帖
大型バイク駐輪可
",4.8,3000,NA,"徒歩",8,5,5,0
"Sharia Kitayama","606-0965","京都府京都市左京区松ケ崎横縄手町","京都市営烏丸線","松ヶ崎",23,2,"2000年03月","南
",2,"広々居室
駅徒歩4分
閑静な住宅街
",4.9,4000,NA,"徒歩",4,9.8,9.8,0
"PINE館","606-0905","京都府京都市左京区松ケ崎杉ケ海道町","京都市営烏丸線","松ヶ崎",27.7,2,"2014年04月","南
",4,"独立洗面化粧台
室内洗濯機置場
モニター付インターフォン
",6.1,6000,NA,"徒歩",10,10,12.2,0
"グランツ62","606-0916","京都府京都市左京区松ケ崎三反長町","京都市営烏丸線","松ヶ崎",22,2,"2001年03月","西
",2,"工繊大生オススメ
温水洗浄便座
オール電化
",4.5,5000,NA,"徒歩",6,0,5,0
"ルミエール松ヶ崎","606-0961","京都府京都市左京区松ケ崎久土町","京都市営烏丸線","松ヶ崎",22.5,4,"1997年11月","西
",2,"室内洗濯機置場
モニター付インターフォン
駐輪場
",4.5,3000,NA,"徒歩",11,5,5,0
"ミッシングN.M","606-0952","京都府京都市左京区松ケ崎木ノ本町","京都市営烏丸線","松ヶ崎",23,2,"1992年11月","東
",3,"採光よし
光ネット
2口ガスコンロ持込可
",4.8,4000,NA,"徒歩",6,0,0,4.8
"ヴィラ・スモールパイン","606-0911","京都府京都市左京区松ケ崎泉川町","京都市営烏丸線","松ヶ崎",17,2,"1990年03月","東
",2,"2口ガスコンロ持込可
ユニットバス
エアコン
",3.7,3000,NA,"徒歩",8,6,2,0
"ピラーズ北山","606-0952","京都府京都市左京区松ケ崎木ノ本町","京都市営烏丸線","松ヶ崎",18.4,2,"1996年05月","北
",3,"セパレート
モニター付インターフォン
室内洗濯機置場
",4.5,4000,2000,"徒歩",8,5,0,0
"クレールヴィル六ノ坪","606-0915","京都府京都市左京区松ケ崎六ノ坪町","京都市営烏丸線","松ヶ崎",29.8,2,"2002年09月","南
",2,"室内洗濯機置場
モニター付インターフォン
広い居室
",5.1,3000,NA,"徒歩",4,5.1,0,5.1
"くらまだ荘","606-0956","京都府京都市左京区松ケ崎鞍馬田町","京都市営烏丸線","松ヶ崎",19.6,2,"1993年01月","東
",3,"セパレートタイプあり
モニター付インターフォン
オートロック
",4,NA,NA,"徒歩",8,0,4,0
"ふるーる北山","606-0914","京都府京都市左京区松ケ崎今海道町6丁目","京都市営バス","松ヶ崎今海道町",25.3,2,"1994年10月","南、北
",5,"駅徒歩1分
2面採光
京都工芸繊維大徒歩圏内
",4.9,5000,NA,"徒歩",4,0,5.9,4.9
"グランシャリオ北山","606-0914","京都府京都市左京区松ケ崎今海道町","京都市営烏丸線","松ヶ崎",25.7,2,"2005年01月","南
",5,"独立洗面化粧台
「松ヶ崎」駅徒歩2分
ローソン徒歩3分
",5.9,5500,NA,"徒歩",3,5.9,5.9,0
"ハイツノジマ","606-0856","京都府京都市左京区下鴨塚本町","京都市営烏丸線","松ヶ崎",20,2,"1989年03月","南
",2,"洗濯機置場
エアコン
駐輪場
",3.7,4500,NA,"徒歩",12,5,0,0
